stats_type,popgrp,age_group_m3,Prov_En_1990,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,7,0_14,Fujian,0.00576178991622385,0.9990580752755848,0.9365709554165856,-10
within-group,10,0_14,Gansu,0.00347206328980528,0.8442156173621592,0.9365709554165856,-10
within-group,13,0_14,Guangdong,0.01715405353434751,0.998900854505055,0.9365709554165856,-10
within-group,16,0_14,Guangxi,0.00854635802776593,0.9989303154740292,0.9365709554165856,-10
within-group,19,0_14,Guizhou,0.00666968621359777,0.9935469535430632,0.9365709554165856,-10
within-group,22,0_14,Hainan,0.00143857438888176,1,0.9365709554165856,-10
within-group,25,0_14,Hebei,0.01047287258744416,0.885166993526646,0.9365709554165856,-10
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.6560828060839979,0.9365709554165856,-10
within-group,31,0_14,Henan,0.0158942652598008,0.9658223430694536,0.9365709554165856,-10
within-group,34,0_14,Hubei,0.0067778895560246,0.9878123866759442,0.9365709554165856,-10
within-group,37,0_14,Hunan,0.00922473636990096,0.9917147367903963,0.9365709554165856,-10
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.6825340799706144,0.9365709554165856,-10
within-group,43,0_14,Jiangsu,0.00900905712673314,0.9691895904564408,0.9365709554165856,-10
within-group,46,0_14,Jiangxi,0.00716065594808189,0.9944074571797664,0.9365709554165856,-10
within-group,49,0_14,Jilin,0.00184261845024983,0.6837315324369994,0.9365709554165856,-10
within-group,52,0_14,Liaoning,0.00341922056900947,0.7638001918152877,0.9365709554165856,-10
within-group,55,0_14,Ningxia,0.00105941200851006,0.8061367833388632,0.9365709554165856,-10
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.7241796952547096,0.9365709554165856,-10
within-group,61,0_14,Shaanxi,0.00494501940169968,0.9375202657742618,0.9365709554165856,-10
within-group,64,0_14,Shandong,0.0132681820105458,0.9271303276702356,0.9365709554165856,-10
within-group,67,0_14,Shanghai,0.00175819768793889,0.9766488057614012,0.9365709554165856,-10
within-group,70,0_14,Shanxi,0.00408244315435452,0.8594117189322877,0.9365709554165856,-10
within-group,73,0_14,Sichuan,0.01337774208945019,0.992267470956008,0.9365709554165856,-10
within-group,76,0_14,Tianjin,0.00134811687091403,0.8642465614829181,0.9365709554165856,-10
within-group,79,0_14,Tibet,6.44329308226729e-4,0.6812115442523939,0.9365709554165856,-10
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.795402859902993,0.9365709554165856,-10
within-group,85,0_14,Yunnan,0.006666392519298,0.9984629633149144,0.9365709554165856,-10
